Ref,Sites,date,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_B8A,Band_11,Band_12,Area_in_m2
ANU.Fieldwork,,2019-01-13,393.0,459.0,694.0,839.0,1143.0,1571.0,1879.0,1928.0,2101.0,2083.0,2367.0,1624.0,557.990389357141
ANU.Fieldwork,,2019-01-13,585.0,1018.0,1388.0,1754.0,1914.0,1950.0,2129.0,2211.0,2788.0,2356.0,3466.0,2848.0,301.02667699789674
ANU.Fieldwork,,2019-01-13,634.0,936.0,1217.0,1583.0,1883.0,2173.0,2427.0,2567.0,2711.0,2763.0,4243.0,3401.0,348.8407837255826
ANU.Fieldwork,,2019-01-13,423.0,623.0,910.0,1100.0,1459.0,1957.0,2250.0,2365.0,2456.0,2489.0,3060.0,2142.0,758.2466290758654
ANU.Fieldwork,,2019-01-13,569.4117647058823,923.8431372549019,1283.4901960784312,1641.137254901961,1935.5294117647059,2130.607843137255,2346.862745098039,2417.450980392157,2806.803921568627,2598.156862745098,3832.274509803922,3045.2745098039213,747.2418776103331
ANU.Fieldwork,,2019-01-13,422.20338983050846,513.6440677966101,779.1864406779662,923.2203389830509,1242.1525423728815,1464.1186440677966,1622.7966101694915,1665.4406779661017,2319.8474576271187,1807.6610169491526,2693.1864406779664,1997.9491525423728,795.5267186142777
ANU.Fieldwork,,2019-01-13,380.55555555555554,581.8888888888888,805.8888888888889,1051.888888888889,1381.7777777777778,1915.5555555555557,2191.1111111111113,2282.9999999999995,2418.888888888889,2485.111111111111,3096.555555555555,2124.222222222222,150.92601428747122
ANU.Fieldwork,,2019-01-13,429.0,632.0,924.0,1191.0,1527.0,1888.0,2162.0,2236.0,2373.0,2445.0,3500.0,2637.0,209.89941492302637
ANU.Fieldwork,,2019-01-13,281.71666666666664,493.28333333333336,741.7833333333333,928.7333333333333,1271.9666666666667,1749.9,2033.966666666667,2123.3333333333335,2221.116666666667,2262.1,2733.116666666667,1923.6666666666667,881.9547081852652
ANU.Fieldwork,,2019-01-13,552.4545454545455,914.6363636363636,1282.8181818181818,1612.4545454545455,1944.5454545454545,2389.090909090909,2630.3636363636365,2655.0,2739.3636363636365,2881.636363636364,3531.181818181818,2473.272727272727,307.64915111541615
ANU.Fieldwork,,2019-01-13,554.4666666666667,920.8666666666667,1291.1333333333334,1621.6666666666667,1954.0,2397.6,2638.8,2663.2666666666664,2745.3999999999996,2891.0666666666666,3535.3999999999996,2477.466666666667,230.17169275260275
